sno,id,coursetitle,site,ispaid,price,subscribers,reviews,lectures,level,duration,subject
93,308696,Forex MetaTrader 4- Master MT4 Like A Pro Forex Trader,metatrader4,TRUE,150,2602,402,57,Beginner Level,5,Business Finance
94,474928,Intermediate Options trading concepts for Stocks and Options,intermediate-options-trading-concepts-for-stocks-and-options-traders,TRUE,40,2000,30,9,All Levels,1,Business Finance
95,1148774,Options Trading 101- The Basics,options-trading-101-the-basics,FALSE,0,1514,66,11,Beginner Level,1,Business Finance
96,959144,Practical Accounts APP Overview,practical-accounts-app-overview,TRUE,20,1361,1,14,Intermediate Level,3,Business Finance
97,1233350,Bitcoin Profits for Beginners,bitcoin-profits-for-beginners,TRUE,100,61,18,30,Beginner Level,2,Business Finance
98,572744,Trend Traders Club- How To Find And Trade Fast Moving Trends,how-to-find-and-trade-profitable-fast-moving-trends,TRUE,75,1513,31,60,All Levels,6,Business Finance
99,724062,Financial Statements Basics,financial-statements-basics,TRUE,20,1374,19,9,Beginner Level,2,Business Finance
100,474212,High performance Stock Trading using key Options techniques,high-performance-stock-trading-using-options-trading-techniques,TRUE,40,2103,15,6,All Levels,2,Business Finance
101,771276,Introduction to Financial Statement Analysis,introduction-to-financial-statement-analysis,TRUE,20,1480,25,25,Beginner Level,2,Business Finance
102,388164,Basics of Economics College Level,economics-for-accounting-and-finance-professionals,TRUE,25,2516,12,20,All Levels,2,Business Finance
103,133536,Stock Market Investing for Beginners,the-beginners-guide-to-the-stock-market,FALSE,0,50855,2698,15,Beginner Level,2,Business Finance
104,655300,Accounting for Beginners - Learn Basics in under 1 Hour,accounting-for-beginners-how-to-do-accounting-super-easily,TRUE,50,1971,13,20,Beginner Level,2,Business Finance
105,949504,Straddle Options Trading - Profit in Any Market Direction,straddle-options-trading-profit-in-any-market-direction,TRUE,200,837,9,19,All Levels,1,Business Finance
106,265960,Fundamentals of Forex Trading,fundamentals-of-forex-trading,FALSE,0,17160,620,23,All Levels,1,Business Finance
